episode_index,init_state_id,seed,model_call_index,control_step,latency_ms
0,30,1030,0,0,399.08074401319027
0,30,1030,1,10,160.34612292423844
0,30,1030,2,20,161.81101370602846
0,30,1030,3,30,160.95090378075838
0,30,1030,4,40,160.54745484143496
0,30,1030,5,50,160.95639392733574
0,30,1030,6,60,160.97324807196856
0,30,1030,7,70,160.334762185812
0,30,1030,8,80,159.9946371279657
0,30,1030,9,90,196.65710534900427
0,30,1030,10,100,190.58190193027258
0,30,1030,11,110,175.33698212355375
0,30,1030,12,120,160.2169661782682
0,30,1030,13,130,160.70036683231592
0,30,1030,14,140,160.41864221915603
0,30,1030,15,150,160.6035279110074
0,30,1030,16,160,160.99952207878232
0,30,1030,17,170,160.51948489621282
0,30,1030,18,180,160.04959028214216
0,30,1030,19,190,160.71128379553556
0,30,1030,20,200,160.5763603001833
0,30,1030,21,210,160.18043598160148
0,30,1030,22,220,183.95178532227874
0,30,1030,23,230,207.80230918899179
1,31,1031,0,0,161.14840609952807
1,31,1031,1,10,161.07581881806254
1,31,1031,2,20,159.8595781251788
1,31,1031,3,30,160.11796286329627
1,31,1031,4,40,160.30646720901132
1,31,1031,5,50,160.1318228058517
1,31,1031,6,60,161.57779470086098
1,31,1031,7,70,160.13060323894024
1,31,1031,8,80,160.24825209751725
1,31,1031,9,90,161.08192270621657
1,31,1031,10,100,160.4601601138711
1,31,1031,11,110,212.1789688244462
1,31,1031,12,120,190.97472913563251
1,31,1031,13,130,210.87980130687356
1,31,1031,14,140,204.9995088018477
1,31,1031,15,150,219.7676207870245
1,31,1031,16,160,160.17148224636912
1,31,1031,17,170,160.15930194407701
1,31,1031,18,180,160.4367671534419
1,31,1031,19,190,160.2168483659625
1,31,1031,20,200,159.97420297935605
1,31,1031,21,210,196.59539591521025
1,31,1031,22,220,160.31509777531028
1,31,1031,23,230,161.1654139123857
1,31,1031,24,240,213.1261369213462
1,31,1031,25,250,196.0259131155908
1,31,1031,26,260,160.3566980920732
1,31,1031,27,270,160.05520382896066
1,31,1031,28,280,159.77076115086675
1,31,1031,29,290,161.66243888437748
1,31,1031,30,300,160.86219577118754
2,32,1032,0,0,160.94156308099627
2,32,1032,1,10,159.42952083423734
2,32,1032,2,20,190.06135314702988
2,32,1032,3,30,159.03537208214402
2,32,1032,4,40,159.34960404410958
2,32,1032,5,50,198.59511917456985
2,32,1032,6,60,159.27397413179278
2,32,1032,7,70,159.54611403867602
2,32,1032,8,80,158.75828079879284
2,32,1032,9,90,158.6214480921626
2,32,1032,10,100,210.43955767527223
2,32,1032,11,110,214.45548301562667
2,32,1032,12,120,159.1410911642015
2,32,1032,13,130,158.95940968766809
2,32,1032,14,140,159.25133368000388
2,32,1032,15,150,161.12438589334488
2,32,1032,16,160,211.85225574299693
2,32,1032,17,170,217.86625403910875
2,32,1032,18,180,194.11266688257456
2,32,1032,19,190,159.02158804237843
2,32,1032,20,200,160.04321724176407
2,32,1032,21,210,159.65088084340096
2,32,1032,22,220,159.42751429975033
2,32,1032,23,230,158.97770086303353
2,32,1032,24,240,159.081744030118
2,32,1032,25,250,159.52799282968044
2,32,1032,26,260,159.50482664629817
2,32,1032,27,270,208.22831196710467
2,32,1032,28,280,159.00894021615386
2,32,1032,29,290,158.97454507648945
2,32,1032,30,300,159.20999506488442
2,32,1032,31,310,159.48096523061395
2,32,1032,32,320,206.22861897572875
2,32,1032,33,330,194.83059039339423
2,32,1032,34,340,158.82762568071485
3,33,1033,0,0,160.71110870689154
3,33,1033,1,10,163.43452967703342
3,33,1033,2,20,159.78280175477266
3,33,1033,3,30,159.6641750074923
3,33,1033,4,40,159.5574989914894
3,33,1033,5,50,159.71657820045948
3,33,1033,6,60,159.84452096745372
3,33,1033,7,70,159.04788300395012
3,33,1033,8,80,159.81702413409948
3,33,1033,9,90,159.82925007119775
3,33,1033,10,100,207.9591490328312
3,33,1033,11,110,159.71311507746577
3,33,1033,12,120,159.78534892201424
3,33,1033,13,130,159.82189681380987
3,33,1033,14,140,159.11096893250942
3,33,1033,15,150,218.83834898471832
3,33,1033,16,160,222.51175111159682
3,33,1033,17,170,203.64373503252864
3,33,1033,18,180,159.89914070814848
3,33,1033,19,190,160.0668579339981
3,33,1033,20,200,159.90781504660845
3,33,1033,21,210,160.36982694640756
3,33,1033,22,220,160.49657575786114
3,33,1033,23,230,160.9471277333796
3,33,1033,24,240,160.93056788668036
3,33,1033,25,250,160.2068329229951
4,34,1034,0,0,161.4732719026506
4,34,1034,1,10,161.564779933542
4,34,1034,2,20,161.38093499466777
4,34,1034,3,30,161.02272225543857
4,34,1034,4,40,161.01907193660736
4,34,1034,5,50,163.62332832068205
4,34,1034,6,60,161.64542827755213
4,34,1034,7,70,197.65742821618915
4,34,1034,8,80,160.49348562955856
4,34,1034,9,90,161.43273329362273
4,34,1034,10,100,159.9671198055148
4,34,1034,11,110,160.56915977969766
4,34,1034,12,120,160.39480781182647
4,34,1034,13,130,159.62163638323545
4,34,1034,14,140,191.37527327984571
4,34,1034,15,150,226.86488926410675
4,34,1034,16,160,160.1429209113121
4,34,1034,17,170,159.69001967459917
4,34,1034,18,180,201.80079387500882
4,34,1034,19,190,215.09297098964453
4,34,1034,20,200,205.60213923454285
4,34,1034,21,210,166.43345030024648
4,34,1034,22,220,159.6972569823265
4,34,1034,23,230,160.04317812621593
4,34,1034,24,240,159.90234818309546
4,34,1034,25,250,160.60769371688366
4,34,1034,26,260,159.7457262687385
5,35,1035,0,0,161.59830382093787
5,35,1035,1,10,199.8140960931778
5,35,1035,2,20,159.25267105922103
5,35,1035,3,30,159.4853140413761
5,35,1035,4,40,159.6886799670756
5,35,1035,5,50,158.99111796170473
5,35,1035,6,60,159.4677660614252
5,35,1035,7,70,159.7601007670164
5,35,1035,8,80,198.60257115215063
5,35,1035,9,90,214.78134579956532
5,35,1035,10,100,226.14761581644416
5,35,1035,11,110,218.11319794505835
5,35,1035,12,120,159.82566634193063
5,35,1035,13,130,159.93917267769575
5,35,1035,14,140,159.41881854087114
5,35,1035,15,150,198.61727440729737
5,35,1035,16,160,159.26952101290226
5,35,1035,17,170,159.00496626272798
5,35,1035,18,180,159.39301392063498
5,35,1035,19,190,201.2720280326903
5,35,1035,20,200,182.17223603278399
5,35,1035,21,210,217.58014895021915
5,35,1035,22,220,159.22409016638994
5,35,1035,23,230,159.319625236094
6,36,1036,0,0,161.57082468271255
6,36,1036,1,10,161.12510301172733
6,36,1036,2,20,199.29265417158604
6,36,1036,3,30,161.1098749563098
6,36,1036,4,40,162.63917787000537
6,36,1036,5,50,218.03714288398623
