episode_index,seed,suite,task_id,task_description,checkpoint,success,episode_length,termination_reason,failure_category,failure_description,sum_reward,max_reward,rollout_wall_s,model_inference_calls,mean_model_inference_ms,median_model_inference_ms,p95_model_inference_ms,video_path
0,1000,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/001000/pretrained_model,True,311,success,none,,1.0,1.0,18.806650085840374,32,184.2125362745719,161.32486867718399,204.2554184794426,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_001000/videos/eval_episode_0.mp4
1,1001,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/001000/pretrained_model,True,278,success,none,,1.0,1.0,14.899731754790992,28,167.68347909341432,160.59067216701806,203.74457978177816,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_001000/videos/eval_episode_1.mp4
2,1002,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/001000/pretrained_model,True,230,success,none,,1.0,1.0,12.620472774840891,23,173.34746381105936,160.80252919346094,206.77422937005758,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_001000/videos/eval_episode_2.mp4
3,1003,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/001000/pretrained_model,True,278,success,none,,1.0,1.0,14.83982385089621,28,170.30201409943402,160.72322335094213,217.01448229141533,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_001000/videos/eval_episode_3.mp4
4,1004,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/001000/pretrained_model,False,520,episode_horizon_exhausted,episode_horizon_exhausted,No LIBERO success before the configured episode horizon.,0.0,0.0,26.45709877135232,52,169.29319249286962,160.43234593234956,207.73248123005033,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_001000/videos/eval_episode_4.mp4
5,1005,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/001000/pretrained_model,True,242,success,none,,1.0,1.0,13.198122072033584,25,168.95713087171316,161.7185133509338,202.65625091269612,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_001000/videos/eval_episode_5.mp4
6,1006,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/001000/pretrained_model,True,286,success,none,,1.0,1.0,15.14904923317954,29,170.58337226124672,160.99814279004931,205.65816415473816,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_001000/videos/eval_episode_6.mp4
7,1007,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/001000/pretrained_model,True,241,success,none,,1.0,1.0,12.913486012723297,25,169.5165804773569,161.59569611772895,205.8982147835195,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_001000/videos/eval_episode_7.mp4
8,1008,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/001000/pretrained_model,True,268,success,none,,1.0,1.0,14.604048344772309,27,166.19261226582307,161.33907297626138,205.28418803587556,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_001000/videos/eval_episode_8.mp4
9,1009,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/001000/pretrained_model,True,246,success,none,,1.0,1.0,13.347426558844745,25,165.38034662604332,160.73783114552498,195.9316922351718,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_001000/videos/eval_episode_9.mp4
