episode_index,seed,model_call_index,control_step,latency_ms
0,1000,0,0,451.7086041159928
0,1000,1,10,162.7479218877852
0,1000,2,20,162.8140681423247
0,1000,3,30,162.9947191104293
0,1000,4,40,162.72384906187654
0,1000,5,50,162.49949065968394
0,1000,6,60,162.26588608697057
0,1000,7,70,163.27283205464482
0,1000,8,80,162.5875416211784
0,1000,9,90,162.74527786299586
0,1000,10,100,163.3381419815123
0,1000,11,110,162.09407383576035
0,1000,12,120,161.97750577703118
0,1000,13,130,162.98261703923345
0,1000,14,140,162.4052538536489
0,1000,15,150,163.05370768532157
0,1000,16,160,162.7286090515554
0,1000,17,170,161.83468280360103
0,1000,18,180,163.0171318538487
0,1000,19,190,162.7205116674304
0,1000,20,200,162.0489857159555
0,1000,21,210,163.45774475485086
0,1000,22,220,162.71666577085853
0,1000,23,230,165.27521004900336
0,1000,24,240,161.96656739339232
0,1000,25,250,162.6342860981822
0,1000,26,260,162.64133295044303
0,1000,27,270,203.47433118149638
0,1000,28,280,161.58874426037073
1,1001,0,0,165.15158815309405
1,1001,1,10,164.90883193910122
1,1001,2,20,166.6085128672421
1,1001,3,30,163.72543526813388
1,1001,4,40,164.85290229320526
1,1001,5,50,165.01047601923347
1,1001,6,60,163.49255200475454
1,1001,7,70,167.36173955723643
1,1001,8,80,164.30165292695165
1,1001,9,90,162.49272180721164
1,1001,10,100,162.6316742040217
1,1001,11,110,164.75012805312872
1,1001,12,120,208.12289835885167
1,1001,13,130,214.45635007694364
1,1001,14,140,161.9502017274499
1,1001,15,150,166.3949121721089
1,1001,16,160,164.1298271715641
1,1001,17,170,165.60903517529368
1,1001,18,180,162.2729259543121
1,1001,19,190,162.22122497856617
1,1001,20,200,163.87870395556092
1,1001,21,210,214.54319497570395
1,1001,22,220,162.27914905175567
1,1001,23,230,163.27683394774795
1,1001,24,240,164.33155676349998
1,1001,25,250,162.56713680922985
1,1001,26,260,163.10272319242358
2,1002,0,0,163.49667171016335
2,1002,1,10,162.01274702325463
2,1002,2,20,161.58629721030593
2,1002,3,30,213.21983262896538
2,1002,4,40,209.88568663597107
2,1002,5,50,162.33830619603395
2,1002,6,60,161.98007808998227
