seed,baseline_success,checkpoint_success,baseline_episode_length,checkpoint_episode_length,episode_length_delta,baseline_video,checkpoint_video
1000,False,True,520,287,-233,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_0.mp4,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_0.mp4
1001,False,True,520,266,-254,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_1.mp4,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_1.mp4
1002,False,True,520,238,-282,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_2.mp4,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_2.mp4
1003,False,True,520,370,-150,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_3.mp4,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_3.mp4
1004,False,True,520,315,-205,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_4.mp4,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_4.mp4
1005,False,True,520,237,-283,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_5.mp4,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_5.mp4
1006,False,True,520,270,-250,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_6.mp4,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_6.mp4
1007,False,True,520,239,-281,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_7.mp4,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_7.mp4
1008,False,True,520,270,-250,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_8.mp4,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_8.mp4
1009,False,True,520,227,-293,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_9.mp4,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_9.mp4
