episode_index,seed,model_call_index,control_step,latency_ms
0,1000,0,0,765.8030739985406
0,1000,1,10,173.2075926847756
0,1000,2,20,170.64862325787544
0,1000,3,30,222.5376171991229
0,1000,4,40,170.18409632146358
0,1000,5,50,170.74602097272873
0,1000,6,60,169.44167716428638
0,1000,7,70,193.7242359854281
0,1000,8,80,202.60999957099557
0,1000,9,90,188.10925679281354
0,1000,10,100,168.77832496538758
0,1000,11,110,169.29129185155034
0,1000,12,120,170.32921686768532
0,1000,13,130,169.35777384787798
0,1000,14,140,218.22230890393257
0,1000,15,150,169.7110552340746
0,1000,16,160,206.54128165915608
0,1000,17,170,218.1433131918311
0,1000,18,180,227.53615910187364
0,1000,19,190,169.16015278548002
0,1000,20,200,169.67795882374048
0,1000,21,210,170.181964058429
0,1000,22,220,169.04695332050323
0,1000,23,230,228.2849228940904
0,1000,24,240,198.1485658325255
0,1000,25,250,169.45258434861898
0,1000,26,260,169.368009082973
0,1000,27,270,201.69291691854596
0,1000,28,280,170.89414410293102
0,1000,29,290,170.03497621044517
0,1000,30,300,170.18322879448533
0,1000,31,310,237.12026188150048
0,1000,32,320,171.3549569249153
0,1000,33,330,211.5729176439345
0,1000,34,340,170.72610603645444
0,1000,35,350,171.17693834006786
0,1000,36,360,171.7070029117167
0,1000,37,370,171.23314877972007
0,1000,38,380,176.07669671997428
0,1000,39,390,173.86304633691907
0,1000,40,400,169.19048316776752
0,1000,41,410,171.34325485676527
0,1000,42,420,201.4938211068511
0,1000,43,430,169.66271679848433
0,1000,44,440,169.86663872376084
0,1000,45,450,170.13657977804542
0,1000,46,460,170.96142005175352
0,1000,47,470,169.3752990104258
0,1000,48,480,169.5142281241715
0,1000,49,490,198.50009633228183
0,1000,50,500,169.79846265166998
0,1000,51,510,169.01741595938802
1,1001,0,0,175.20108493044972
1,1001,1,10,170.00194126740098
1,1001,2,20,217.92075084522367
1,1001,3,30,170.23270390927792
1,1001,4,40,170.33554008230567
1,1001,5,50,213.41607300564647
1,1001,6,60,207.4215030297637
1,1001,7,70,170.62522796913981
1,1001,8,80,170.6473482772708
1,1001,9,90,170.38982594385743
1,1001,10,100,169.89722102880478
1,1001,11,110,213.15486077219248
1,1001,12,120,160.16022767871618
1,1001,13,130,203.28893791884184
1,1001,14,140,158.77896081656218
1,1001,15,150,159.05362786725163
1,1001,16,160,199.9266273342073
1,1001,17,170,158.73130597174168
1,1001,18,180,158.68073515594006
1,1001,19,190,187.79405811801553
1,1001,20,200,158.43095583841205
1,1001,21,210,158.83910469710827
1,1001,22,220,210.33661486580968
1,1001,23,230,175.75565492734313
1,1001,24,240,175.8943391032517
1,1001,25,250,163.11554098501801
1,1001,26,260,166.54722578823566
1,1001,27,270,206.5794230438769
1,1001,28,280,172.01692005619407
1,1001,29,290,172.45760187506676
1,1001,30,300,170.30222713947296
1,1001,31,310,169.97649101540446
1,1001,32,320,170.39102083072066
1,1001,33,330,169.82373781502247
1,1001,34,340,169.9176230467856
1,1001,35,350,171.35152872651815
1,1001,36,360,169.83485780656338
1,1001,37,370,210.10065311565995
1,1001,38,380,169.824562035501
1,1001,39,390,222.82296791672707
1,1001,40,400,213.98075204342604
1,1001,41,410,170.1668449677527
1,1001,42,420,204.44415463134646
1,1001,43,430,230.55509384721518
1,1001,44,440,220.1979230158031
1,1001,45,450,169.82884891331196
1,1001,46,460,170.09819764643908
1,1001,47,470,169.80251902714372
1,1001,48,480,213.25264126062393
1,1001,49,490,211.6711949929595
1,1001,50,500,169.70216622576118
1,1001,51,510,169.54017663374543
2,1002,0,0,181.92421598359942
2,1002,1,10,169.39802700653672
2,1002,2,20,169.32130185887218
2,1002,3,30,208.077154122293
2,1002,4,40,170.79378478229046
2,1002,5,50,170.21223716437817
2,1002,6,60,204.58335196599364
2,1002,7,70,170.16650503501296
2,1002,8,80,208.56423070654273
2,1002,9,90,215.81103885546327
2,1002,10,100,169.2437380552292
2,1002,11,110,170.22617300972342
2,1002,12,120,169.34192273765802
2,1002,13,130,170.05396587774158
2,1002,14,140,168.7820740044117
2,1002,15,150,170.4869638197124
2,1002,16,160,213.299750816077
2,1002,17,170,219.2314611747861
2,1002,18,180,169.06500328332186
2,1002,19,190,168.86958992108703
2,1002,20,200,169.3419050425291
2,1002,21,210,168.51613530889153
2,1002,22,220,168.9542131498456
2,1002,23,230,210.58320719748735
2,1002,24,240,218.21139892563224
2,1002,25,250,170.07682705298066
2,1002,26,260,169.0370482392609
2,1002,27,270,220.20750725641847
