episode_index,seed,model_call_index,control_step,latency_ms
0,999,0,0,561.824067030102
0,999,1,10,157.57079096511006
0,999,2,20,157.8364297747612
0,999,3,30,158.8668180629611
0,999,4,40,157.97613840550184
0,999,5,50,159.5249818637967
0,999,6,60,157.44710201397538
0,999,7,70,157.6359341852367
0,999,8,80,158.46562013030052
0,999,9,90,158.32387516275048
0,999,10,100,157.41383517161012
0,999,11,110,157.80130494385958
0,999,12,120,157.7608180232346
0,999,13,130,157.1321301162243
0,999,14,140,157.72728575393558
0,999,15,150,158.92634680494666
0,999,16,160,157.96548686921597
0,999,17,170,200.69270627573133
0,999,18,180,159.18581606820226
0,999,19,190,162.4456401914358
0,999,20,200,162.6374931074679
0,999,21,210,207.1202201768756
0,999,22,220,213.90579640865326
0,999,23,230,161.6523968987167
0,999,24,240,158.55760779231787
0,999,25,250,168.82240073755383
0,999,26,260,209.3943622894585
0,999,27,270,162.91412012651563
0,999,28,280,208.018837030977
0,999,29,290,174.8283989727497
0,999,30,300,176.6145871952176
0,999,31,310,201.18083897978067
0,999,32,320,158.50288374349475
0,999,33,330,158.06242497637868
0,999,34,340,204.47453390806913
0,999,35,350,157.42528904229403
0,999,36,360,157.69519098103046
0,999,37,370,158.24013110250235
0,999,38,380,209.37416795641184
0,999,39,390,157.97608392313123
0,999,40,400,158.00718124955893
0,999,41,410,158.4642049856484
0,999,42,420,158.4437801502645
0,999,43,430,157.84856723621488
0,999,44,440,187.14274419471622
0,999,45,450,157.12127787992358
0,999,46,460,158.01688702777028
0,999,47,470,157.76759199798107
0,999,48,480,197.80863681808114
0,999,49,490,166.84952517971396
0,999,50,500,157.01868711039424
0,999,51,510,201.7778279259801
