Filesystem         Size  Used Avail Use% Mounted on
overlay             30G   53M   30G   1% /
tmpfs               64M     0   64M   0% /dev
/dev/md0           150M     0  150M   0% /init
172.30.54.6:/data  7.3T  1.6T  5.3T  24% /autodl-pub
shm                 55G     0   55G   0% /dev/shm
/dev/sda2          879G   15G  819G   2% /usr/bin/nvidia-smi
tmpfs              4.0K  4.0K     0 100% /run/nvidia-ctk-hook
tmpfs              504G     0  504G   0% /proc/acpi
tmpfs              504G     0  504G   0% /proc/scsi
tmpfs              504G     0  504G   0% /sys/firmware
tmpfs              504G     0  504G   0% /sys/devices/virtual/powercap
