timestamp_utc,index,name,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_draw_watts,temperature_c
2026-08-11T04:57:25Z,0, NVIDIA RTX 6000D, 0, 85651, 0, 30.96, 31
2026-08-11T04:57:26Z,0, NVIDIA RTX 6000D, 0, 85651, 0, 30.67, 31
2026-08-11T04:57:28Z,0, NVIDIA RTX 6000D, 0, 85651, 0, 30.47, 31
2026-08-11T04:57:29Z,0, NVIDIA RTX 6000D, 0, 85651, 0, 30.46, 31
2026-08-11T04:57:30Z,0, NVIDIA RTX 6000D, 0, 85651, 0, 30.71, 31
2026-08-11T04:57:31Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 32.51, 31
2026-08-11T04:57:32Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 32.41, 31
2026-08-11T04:57:33Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.48, 31
2026-08-11T04:57:34Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.67, 31
2026-08-11T04:57:35Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 32.41, 31
2026-08-11T04:57:36Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.89, 31
2026-08-11T04:57:38Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.37, 31
2026-08-11T04:57:39Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.98, 31
2026-08-11T04:57:40Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.47, 31
2026-08-11T04:57:41Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.89, 31
2026-08-11T04:57:42Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.17, 31
2026-08-11T04:57:43Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.88, 31
2026-08-11T04:57:44Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.37, 31
2026-08-11T04:57:45Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.37, 31
2026-08-11T04:57:47Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.96, 31
2026-08-11T04:57:48Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.23, 31
2026-08-11T04:57:49Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.38, 31
2026-08-11T04:57:50Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.45, 31
2026-08-11T04:57:51Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.38, 31
2026-08-11T04:57:52Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.13, 31
2026-08-11T04:57:53Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.18, 31
2026-08-11T04:57:54Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.42, 31
2026-08-11T04:57:55Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.47, 31
2026-08-11T04:57:57Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.17, 31
2026-08-11T04:57:58Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.96, 31
2026-08-11T04:57:59Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.71, 31
2026-08-11T04:58:00Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.94, 31
2026-08-11T04:58:01Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.70, 31
2026-08-11T04:58:02Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.17, 31
2026-08-11T04:58:03Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.47, 31
2026-08-11T04:58:05Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.41, 31
2026-08-11T04:58:06Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.37, 31
2026-08-11T04:58:07Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.37, 31
2026-08-11T04:58:08Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.38, 31
2026-08-11T04:58:09Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.13, 31
2026-08-11T04:58:10Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.37, 31
2026-08-11T04:58:11Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.17, 31
2026-08-11T04:58:12Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.47, 31
2026-08-11T04:58:14Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.42, 31
2026-08-11T04:58:15Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.98, 31
2026-08-11T04:58:16Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.22, 31
2026-08-11T04:58:17Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.45, 31
2026-08-11T04:58:18Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.65, 31
2026-08-11T04:58:19Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.36, 31
2026-08-11T04:58:20Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.37, 31
